S_Label,S_Code,S_CUI,S_Depth,Pre_Label,Pre-Code,Pre_CUI,Pre_Depth,Post_Label,Post_Code,Post_CUI,Post_Depth
"Benign neoplasm of nervous system, part unspecified",225.9,C0497550,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Benign neoplasm of thyroid glands,226,C0154038,4,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Benign neoplasm of other endocrine glands and related structures,227,C0154039,4,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Benign neoplasm of adrenal gland,227.0,C0154040,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Benign neoplasm of parathyroid gland,227.1,C0154041,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Benign neoplasm of pituitary gland and craniopharyngeal duct,227.3,C0347525,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Benign neoplasm of pineal gland,227.4,C0154043,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Benign neoplasm of carotid body,227.5,C0154044,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Benign neoplasm of aortic body and other paraganglia,227.6,C0154045,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Benign neoplasm of other endocrine glands and related structures,227.8,C0154039,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Benign neoplasm of endocrine gland, site unspecified",227.9,C0347524,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Hemangioma and lymphangioma, any site",228,C0851225,4,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Hemangioma, any site",228.0,C0018916,5,"Hemangioma, any site",228.0,C0018916,5,Hemangioma,D006391,C0018916,7
Hemangioma of unspecified site,228.00,C0018916,6,Hemangioma of unspecified site,228.00,C0018916,6,Hemangioma,D006391,C0018916,7
Hemangioma of skin and subcutaneous tissue,228.01,C0154049,6,"Hemangioma, any site",228.0,C0018916,5,Hemangioma,D006391,C0018916,7
Hemangioma of intracranial structures,228.02,C0154050,6,"Hemangioma, any site",228.0,C0018916,5,Hemangioma,D006391,C0018916,7
Hemangioma of retina,228.03,C0154051,6,"Hemangioma, any site",228.0,C0018916,5,Hemangioma,D006391,C0018916,7
Hemangioma of intra-abdominal structures,228.04,C0154052,6,"Hemangioma, any site",228.0,C0018916,5,Hemangioma,D006391,C0018916,7
Hemangioma of other sites,228.09,C0018918,6,"Hemangioma, any site",228.0,C0018916,5,Hemangioma,D006391,C0018916,7
"Lymphangioma, any site",228.1,C0024221,5,"Lymphangioma, any site",228.1,C0024221,5,Lymphangioma,D008202,C0024221,7
Benign neoplasm of other and unspecified sites,229,C0154053,4,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Benign neoplasm of lymph nodes,229.0,C0154054,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Benign neoplasm of other specified sites,229.8,C0154055,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Benign neoplasm of unspecified site,229.9,C0086692,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Surgical removal of tooth,23.1,C0040440,4,Surgical removal of tooth,23.1,C0040440,4,Tooth Extraction,D014081,C0040440,6
Removal of residual root,23.11,C0176394,5,Surgical removal of tooth,23.1,C0040440,4,Tooth Extraction,D014081,C0040440,6
Other surgical extraction of tooth,23.19,C0176395,5,Surgical removal of tooth,23.1,C0040440,4,Tooth Extraction,D014081,C0040440,6
"Root canal, not otherwise specified",23.70,C0035849,5,"Root canal, not otherwise specified",23.70,C0035849,5,Root Canal Therapy,D012390,C0035849,6
Apicoectomy,23.73,C0003571,5,Apicoectomy,23.73,C0003571,5,Apicoectomy,D001047,C0003571,6
Carcinoma in situ of digestive organs,230,C0154057,4,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Carcinoma in situ of lip, oral cavity, and pharynx",230.0,C0154058,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of esophagus,230.1,C0154059,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of stomach,230.2,C0154060,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of colon,230.3,C0154061,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of rectum,230.4,C0154062,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of anal canal,230.5,C2242854,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Carcinoma in situ of anus, unspecified",230.6,C0154064,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of other and unspecified parts of intestine,230.7,C0154065,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of liver and biliary system,230.8,C0496854,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of other and unspecified digestive organs,230.9,C0154067,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
CARCINOMA IN SITU,230-234.99,C0007099,3,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of respiratory system,231,C0348402,4,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of larynx,231.0,C0154069,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of trachea,231.1,C0154070,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of bronchus and lung,231.2,C0154071,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of other specified parts of respiratory system,231.8,C0154072,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Carcinoma in situ of respiratory system, part unspecified",231.9,C0348402,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of skin,232,C0154073,4,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of skin of lip,232.0,C0154074,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Carcinoma in situ of eyelid, including canthus",232.1,C1112527,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of skin of ear and external auditory canal,232.2,C0347139,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of skin of other and unspecified parts of face,232.3,C0154077,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of scalp and skin of neck,232.4,C0154078,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Carcinoma in situ of skin of trunk, except scrotum",232.5,C0154079,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Carcinoma in situ of skin of upper limb, including shoulder",232.6,C0154080,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Carcinoma in situ of skin of lower limb, including hip",232.7,C0154081,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of other specified sites of skin,232.8,C0154082,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Carcinoma in situ of skin, site unspecified",232.9,C0154073,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of breast and genitourinary system,233,C0154083,4,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of breast,233.0,C0154084,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of cervix uteri,233.1,C0851140,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of other and unspecified parts of uterus,233.2,C0154086,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of other and unspecified female genital organs,233.3,C0154087,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Carcinoma in situ, unspecified female genital organ",233.30,C1955737,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Carcinoma in situ, vagina",233.31,C0686277,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Carcinoma in situ, vulva",233.32,C0278729,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Carcinoma in situ, other female genital organ",233.39,C1955739,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of prostate,233.4,C0154088,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of penis,233.5,C0154089,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of other and unspecified male genital organs,233.6,C0154090,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of bladder,233.7,C0154091,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of other and unspecified urinary organs,233.9,C0154092,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of other and unspecified sites,234,C0154093,4,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of eye,234.0,C0154094,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Carcinoma in situ of other specified sites,234.8,C0007100,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Carcinoma in situ, site unspecified",234.9,C0007099,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of digestive and respiratory systems,235,C0154095,4,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of major salivary glands,235.0,C0154096,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Neoplasm of uncertain behavior of lip, oral cavity, and pharynx",235.1,C0154097,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Neoplasm of uncertain behavior of stomach, intestines, and rectum",235.2,C0154098,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of liver and biliary passages,235.3,C0496909,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of retroperitoneum and peritoneum,235.4,C0154100,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of other and unspecified digestive organs,235.5,C0154101,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of larynx,235.6,C0496912,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Neoplasm of uncertain behavior of trachea, bronchus, and lung",235.7,C0154103,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Neoplasm of uncertain behavior of pleura, thymus, and mediastinum",235.8,C0154104,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of other and unspecified respiratory organs,235.9,C0154105,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
NEOPLASMS OF UNCERTAIN BEHAVIOR,235-238.99,C0154129,3,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of genitourinary organs,236,C0154106,4,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of uterus,236.0,C0496919,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of placenta,236.1,C0496921,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of ovary,236.2,C0496920,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of other and unspecified female genital organs,236.3,C2869595,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of testis,236.4,C0496924,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of prostate,236.5,C0496923,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of other and unspecified male genital organs,236.6,C2869603,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of bladder,236.7,C0496930,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of other and unspecified urinary organs,236.9,C0154113,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Neoplasm of uncertain behavior of urinary organ, unspecified",236.90,C0496932,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of kidney and ureter,236.91,C0154115,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of other and unspecified urinary organs,236.99,C2873698,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of endocrine glands and nervous system,237,C0154116,4,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct,237.0,C0027636,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of pineal gland,237.1,C0496946,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of adrenal gland,237.2,C0154117,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of paraganglia,237.3,C0027634,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of other and unspecified endocrine glands,237.4,C0154118,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of brain and spinal cord,237.5,C0154119,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of meninges,237.6,C0154120,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neurofibromatosis,237.7,C0162678,5,Neurofibromatosis,237.7,C0162678,5,Neurofibromatoses,D017253,C0162678,6
"Neurofibromatosis, unspecified",237.70,C0162678,6,"Neurofibromatosis, unspecified",237.70,C0162678,6,Neurofibromatoses,D017253,C0162678,6
"Neurofibromatosis, type 1 [von recklinghausen's disease]",237.71,C0027831,6,"Neurofibromatosis, type 1 [von recklinghausen's disease]",237.71,C0027831,6,Neurofibromatosis 1,D009456,C0027831,7
"Neurofibromatosis, type 2 [acoustic neurofibromatosis]",237.72,C0027832,6,Neurofibromatosis,237.7,C0162678,5,Neurofibromatoses,D017253,C0162678,6
Schwannomatosis,237.73,C1335929,6,Neurofibromatosis,237.7,C0162678,5,Neurofibromatoses,D017253,C0162678,6
Other neurofibromatosis,237.79,C2921012,6,Neurofibromatosis,237.7,C0162678,5,Neurofibromatoses,D017253,C0162678,6
Neoplasm of uncertain behavior of other and unspecified parts of nervous system,237.9,C0154123,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of other and unspecified sites and tissues,238,C0154124,4,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of bone and articular cartilage,238.0,C0027630,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of connective and other soft tissue,238.1,C0154125,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of skin,238.2,C0496955,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of breast,238.3,C0496956,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Polycythemia vera,238.4,C0032463,5,Polycythemia vera,238.4,C0032463,5,Polycythemia Vera,D011087,C0032463,8
Neoplasm of uncertain behavior of histiocytic and mast cells,238.5,C0154127,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of plasma cells,238.6,C0027638,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of other lymphatic and hematopoietic tissues,238.7,C0027632,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Essential thrombocythemia,238.71,C0040028,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Low grade myelodysplastic syndrome lesions,238.72,C1719305,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
High grade myelodysplastic syndrome lesions,238.73,C1719308,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Myelodysplastic syndrome with 5q deletion,238.74,C1292779,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Myelodysplastic syndrome, unspecified",238.75,C0026986,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Myelofibrosis with myeloid metaplasia,238.76,C0001815,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Post-transplant lymphoproliferative disorder (PTLD),238.77,C0432487,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Other lymphatic and hematopoietic tissues,238.79,C1706492,6,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasm of uncertain behavior of other specified sites,238.8,C2873733,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
"Neoplasm of uncertain behavior, site unspecified",238.9,C0375110,5,NEOPLASMS,140-239.99,C0027651,2,Neoplasms,D009369,C0027651,4
Neoplasms of unspecified nature,239,C0027651,4,Neoplasms of unspecified nature,239,C0027651,4,Neoplasms,D009369,C0027651,4
Neoplasm of unspecified nature of digestive system,239.0,C0012243,5,Neoplasm of unspecified nature of digestive system,239.0,C0012243,5,Digestive System Neoplasms,D004067,C0012243,5
Neoplasm of unspecified nature of respiratory system,239.1,C0154131,5,Neoplasms of unspecified nature,239,C0027651,4,Neoplasms,D009369,C0027651,4
"Neoplasm of unspecified nature of bone, soft tissue, and skin",239.2,C0154132,5,Neoplasms of unspecified nature,239,C0027651,4,Neoplasms,D009369,C0027651,4
Neoplasm of unspecified nature of breast,239.3,C0027641,5,Neoplasms of unspecified nature,239,C0027651,4,Neoplasms,D009369,C0027651,4
Neoplasm of unspecified nature of bladder,239.4,C0027639,5,Neoplasms of unspecified nature,239,C0027651,4,Neoplasms,D009369,C0027651,4
Neoplasm of unspecified nature of other genitourinary organs,239.5,C0154133,5,Neoplasms of unspecified nature,239,C0027651,4,Neoplasms,D009369,C0027651,4
Neoplasm of unspecified nature of brain,239.6,C0006118,5,Neoplasms of unspecified nature,239,C0027651,4,Neoplasms,D009369,C0027651,4
Neoplasm of unspecified nature of endocrine glands and other parts of nervous system,239.7,C0154134,5,Neoplasms of unspecified nature,239,C0027651,4,Neoplasms,D009369,C0027651,4
Neoplasm of unspecified nature of other specified sites,239.8,C0154135,5,Neoplasms of unspecified nature,239,C0027651,4,Neoplasms,D009369,C0027651,4
"Neoplasms of unspecified nature, retina and choroid",239.81,C2712911,6,Neoplasms of unspecified nature,239,C0027651,4,Neoplasms,D009369,C0027651,4
"Neoplasms of unspecified nature, other specified sites",239.89,C0154135,6,Neoplasms of unspecified nature,239,C0027651,4,Neoplasms,D009369,C0027651,4
"Neoplasm of unspecified nature, site unspecified",239.9,C0375111,5,Neoplasms of unspecified nature,239,C0027651,4,Neoplasms,D009369,C0027651,4
NEOPLASMS OF UNSPECIFIED NATURE,239-239.99,C0027651,3,NEOPLASMS OF UNSPECIFIED NATURE,239-239.99,C0027651,3,Neoplasms,D009369,C0027651,4
Gingivoplasty,24.2,C0017576,4,Gingivoplasty,24.2,C0017576,4,Gingivoplasty,D005893,C0017576,6
Alveoloplasty,24.5,C0002393,4,Alveoloplasty,24.5,C0002393,4,Alveoloplasty,D000543,C0002393,7
Extension or deepening of buccolabial or lingual sulcus,24.91,C0042609,5,Extension or deepening of buccolabial or lingual sulcus,24.91,C0042609,5,Vestibuloplasty,D014727,C0042609,7
Simple and unspecified goiter,240,C0037158,4,DISORDERS OF THYROID GLAND,240-246.99,C0040128,3,Thyroid Diseases,D013959,C0040128,5
"Goiter, specified as simple",240.0,C0018022,5,"Goiter, specified as simple",240.0,C0018022,5,"Goiter, Endemic",D006043,C0018022,7
"Goiter, unspecified",240.9,C0018021,5,"Goiter, unspecified",240.9,C0018021,5,Goiter,D006042,C0018021,6
DISORDERS OF THYROID GLAND,240-246.99,C0040128,3,DISORDERS OF THYROID GLAND,240-246.99,C0040128,3,Thyroid Diseases,D013959,C0040128,5
Nontoxic nodular goiter,241,C1318500,4,DISORDERS OF THYROID GLAND,240-246.99,C0040128,3,Thyroid Diseases,D013959,C0040128,5
Nontoxic uninodular goiter,241.0,C0342115,5,DISORDERS OF THYROID GLAND,240-246.99,C0040128,3,Thyroid Diseases,D013959,C0040128,5
Nontoxic multinodular goiter,241.1,C0271761,5,DISORDERS OF THYROID GLAND,240-246.99,C0040128,3,Thyroid Diseases,D013959,C0040128,5
Unspecified nontoxic nodular goiter,241.9,C1318500,5,DISORDERS OF THYROID GLAND,240-246.99,C0040128,3,Thyroid Diseases,D013959,C0040128,5
Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Toxic diffuse goiter,242.0,C0342122,5,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Toxic diffuse goiter without mention of thyrotoxic crisis or storm,242.00,C0154138,6,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Toxic diffuse goiter with mention of thyrotoxic crisis or storm,242.01,C0154139,6,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Toxic uninodular goiter,242.1,C0154141,5,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Toxic uninodular goiter without mention of thyrotoxic crisis or storm,242.10,C0489955,6,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Toxic uninodular goiter with mention of thyrotoxic crisis or storm,242.11,C0154142,6,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Toxic multinodular goiter,242.2,C0154143,5,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Toxic multinodular goiter without mention of thyrotoxic crisis or storm,242.20,C0154144,6,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Toxic multinodular goiter with mention of thyrotoxic crisis or storm,242.21,C0154145,6,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
"Toxic nodular goiter, unspecified type",242.3,C0342127,5,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
"Toxic nodular goiter, unspecified type, without mention of thyrotoxic crisis or storm",242.30,C0154146,6,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
"Toxic nodular goiter, unspecified type, with mention of thyrotoxic crisis or storm",242.31,C0154147,6,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Thyrotoxicosis from ectopic thyroid nodule,242.4,C0154148,5,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Thyrotoxicosis from ectopic thyroid nodule without mention of thyrotoxic crisis or storm,242.40,C0342132,6,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Thyrotoxicosis from ectopic thyroid nodule with mention of thyrotoxic crisis or storm,242.41,C0342133,6,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Thyrotoxicosis of other specified origin,242.8,C0154151,5,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm,242.80,C0154152,6,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Thyrotoxicosis of other specified origin with mention of thyrotoxic crisis or storm,242.81,C0154153,6,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Thyrotoxicosis without mention of goiter or other cause,242.9,C0271763,5,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm",242.90,C0154154,6,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
"Thyrotoxicosis without mention of goiter or other cause, with mention of thyrotoxic crisis or storm",242.91,C0154155,6,Thyrotoxicosis with or without goiter,242,C0040156,4,Thyrotoxicosis,D013971,C0040156,6
Congenital hypothyroidism,243,C0010308,4,Congenital hypothyroidism,243,C0010308,4,Congenital Hypothyroidism,D003409,C0010308,6
Acquired hypothyroidism,244,C0700502,4,DISORDERS OF THYROID GLAND,240-246.99,C0040128,3,Thyroid Diseases,D013959,C0040128,5
Postsurgical hypothyroidism,244.0,C0154157,5,DISORDERS OF THYROID GLAND,240-246.99,C0040128,3,Thyroid Diseases,D013959,C0040128,5
Other postablative hypothyroidism,244.1,C0154158,5,DISORDERS OF THYROID GLAND,240-246.99,C0040128,3,Thyroid Diseases,D013959,C0040128,5
Iodine hypothyroidism,244.2,C0154159,5,DISORDERS OF THYROID GLAND,240-246.99,C0040128,3,Thyroid Diseases,D013959,C0040128,5
Other iatrogenic hypothyroidism,244.3,C0154160,5,DISORDERS OF THYROID GLAND,240-246.99,C0040128,3,Thyroid Diseases,D013959,C0040128,5
Other specified acquired hypothyroidism,244.8,C0154161,5,DISORDERS OF THYROID GLAND,240-246.99,C0040128,3,Thyroid Diseases,D013959,C0040128,5
Unspecified acquired hypothyroidism,244.9,C0020676,5,DISORDERS OF THYROID GLAND,240-246.99,C0040128,3,Thyroid Diseases,D013959,C0040128,5
